IDCOMPANY;COD_CDC;DESC_CDC;INIZIO_CDC;FINE_CDC;COD_DETT;DESC_DETT;INIZIO_DETT;FINE_DETT;FLATTR;DTSTARTVL;DTENDVL
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CAVMAR-IND;CavMartin-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CAVMAR-IND;CavMartin-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CELERI-DIR;CelErik-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CELERI-IND;CelErik-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CENTRO ESTIVO;CENTRO ESTIVO;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CEPSAM-DIR;CepSamuel-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CEPSAM-IND;CepSamuel-indirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CERLEO-DIR;CerLeonardo-dirette;01-01-1800;31-12-2999;;;
000001;58;Monza;01-01-1800;31-12-2999;CERLEO-IND;CerLeonardo-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CHEANG-DIR;CheAngelaP-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CHEANG-DIR;CheAngelaP-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CHEANG-IND;CheAngelaP-indirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CHEANG-IND;CheAngelaP-indirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CHIPAT-DIR;ChiPatrik-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CHIPAT-DIR;ChiPatrik-dirette;01-01-1800;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CHUFAB-DIR;ChuPerezFabrizio-dirette;16-09-2019;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CHUFAB-DIR;ChuPerezFabrizio-dirette;16-09-2019;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CHUFAB-IND;ChuPerezFabrizio-indirette;16-09-2019;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CHUFAB-IND;ChuPerezFabrizio-indirette;16-09-2019;31-12-2999;;;
000001;32;ASH Brugherio;01-01-1800;31-12-2999;CHUPER-DIR;ChuPerezFabrizio-dirette;01-01-1800;31-12-2999;;;
000001;48;ADH Brugherio;01-01-1800;31-12-2999;CHUPER-DIR;ChuPerezFabrizio-dirette;01-01-1800;31-12-2999;;;
